"OrderDate","Category","City","Country","CustomerName","Discount","OrderID","PostalCode","ProductName","Profit","Quantity","Region","Sales","Segment","ShipDate","ShipMode","State","Sub-Category","DaystoShipActual","SalesForecast","ShipStatus","DaystoShipScheduled","OrderProfitable","SalesperCustomer","ProfitRatio","SalesaboveTarget","latitude","longitude","location","SalesAboveTarget","orderprofitable"
"2011-01-04 00:00:00","Office Supplies","Houston","United States","Darren Powers","0.2","CA-2011-103800","77095","Message Book, Wirebound, Four 5 1/2 X 4 Forms/Pg., 200 Dupl. Sets/Book","6","2","Central","16","Consumer","2011. 01. 08.","Standard Class","Texas","Paper","4","22","Shipped Early","6","null","16.45","33.8","null","29.8941","-95.6481","29.8941,-95.6481","null","null"
"2011-01-05 00:00:00","Office Supplies","Naperville","United States","Phillina Ober","0.2","CA-2011-112326","60540","Avery 508","4","3","Central","12","Home Office","2011. 01. 09.","Standard Class","Illinois","Labels","4","15","Shipped Early","6","null","11.78","36.3","null","41.7662","-88.141","41.7662,-88.141","null","null"
"2011-01-05 00:00:00","Office Supplies","Naperville","United States","Phillina Ober","0.8","CA-2011-112326","60540","GBC Standard Plastic Binding Systems Combs","-5","2","Central","4","Home Office","2011. 01. 09.","Standard Class","Illinois","Binders","4","5","Shipped Early","6","null","3.54","-155","null","41.7662","-88.141","41.7662,-88.141","null","null"
"2011-01-05 00:00:00","Office Supplies","Naperville","United States","Phillina Ober","0.2","CA-2011-112326","60540","SAFCO Boltless Steel Shelving","-65","3","Central","273","Home Office","2011. 01. 09.","Standard Class","Illinois","Storage","4","357","Shipped Early","6","null","272.74","-23.8","null","41.7662","-88.141","41.7662,-88.141","null","null"
"2011-01-06 00:00:00","Office Supplies","Philadelphia","United States","Mick Brown","0.2","CA-2011-141817","19143","Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","5","3","East","20","Consumer","2011. 01. 13.","Standard Class","Pennsylvania","Art","7","26","Shipped Late","6","null","19.54","25","null","39.9448","-75.2288","39.9448,-75.2288","null","null"
"2011-01-07 00:00:00","Furniture","Henderson","United States","Maria Etezadi","0","CA-2011-167199","42420","Global Deluxe High-Back Managers Chair","746","9","South","2574","Home Office","2011. 01. 11.","Standard Class","Kentucky","Chairs","4","3373","Shipped Early","6","null","2573.82","29","null","37.8274","-87.5632","37.8274,-87.5632","null","null"
"2011-01-07 00:00:00","Office Supplies","Athens","United States","Jack OBriant","0","CA-2011-106054","30605","Dixon Prang Watercolor Pencils, 10-Color Set with Brush","5","3","South","13","Corporate","2011. 01. 08.","First Class","Georgia","Art","1","17","Shipped On Time","1","null","12.78","41","null","33.9321","-83.3525","33.9321,-83.3525","null","null"
"2011-01-07 00:00:00","Office Supplies","Henderson","United States","Maria Etezadi","0","CA-2011-167199","42420","Alliance Super-Size Bands, Assorted Sizes","0","4","South","31","Home Office","2011. 01. 11.","Standard Class","Kentucky","Fasteners","4","41","Shipped Early","6","null","31.12","1","null","37.8274","-87.5632","37.8274,-87.5632","null","null"
"2011-01-07 00:00:00","Office Supplies","Henderson","United States","Maria Etezadi","0","CA-2011-167199","42420","Ibico Hi-Tech Manual Binding System","274","2","South","610","Home Office","2011. 01. 11.","Standard Class","Kentucky","Binders","4","799","Shipped Early","6","null","609.98","45","null","37.8274","-87.5632","37.8274,-87.5632","null","null"
"2011-01-07 00:00:00","Office Supplies","Henderson","United States","Maria Etezadi","0","CA-2011-167199","42420","Rogers Handheld Barrel Pencil Sharpener","1","2","South","5","Home Office","2011. 01. 11.","Standard Class","Kentucky","Art","4","7","Shipped Early","6","null","5.48","27","null","37.8274","-87.5632","37.8274,-87.5632","null","null"
"2011-01-07 00:00:00","Office Supplies","Henderson","United States","Maria Etezadi","0","CA-2011-167199","42420","Southworth 25% Cotton Granite Paper & Envelopes","3","1","South","7","Home Office","2011. 01. 11.","Standard Class","Kentucky","Paper","4","9","Shipped Early","6","null","6.54","46","null","37.8274","-87.5632","37.8274,-87.5632","null","null"
